プレイ人数：2~4人	lartasnej: 2, 3, 4
ワイルドが1枚あるので、ボーナス点は2点。	panqa'd flonner mol mal no io cirlaen vaxelferl es qa.
ラウツァイト・セプ！	lauzait-cep!
3つの組合せをすでに公開している場合、そのプレイヤーは「ラウツァイト・セプ！」と宣言して追加で勝利点を得ることができます。	larta xelvin kinunsares dqa'd virlateust felx cene lkurf "lauzait-cep" mal icve yst edioll'i molkkavo'dy.
あるいは特例として、手駒を一切公開していない状態で手駒の中に3つの組合せが成立している場合にも、「ラウツァイト・セプ！」と宣言して勝利点を得ることができます。	fhanka io, kinunsareso lexiv veles dqa'd virlateust mol surulumergal'c felx cene co lkurf "lauzait-cep" mal icve vaxelferl.
この際はボーナス点を得ず、勝利点のみを得ます。	la lexe'd na io shrlo icve yst edioll'i molkkavo'dy lap. (fe icve vaxelferl.)
勝利点一覧	melfertalasti fon yst edioll molkkavo'dy
ラウツァイト・セプ	lauzait-cep
専門家委員会	lafirmeterss
全ての駒が同じ色	als laver'd dejix es daliu. 
大行列	xerf leiju
9個の連続する数	fentiqa'd oloven dieniep
重なり橋	sliejsesen qornalc
手駒の中に、同じ数からなる組合せ2個が存在	surulumergal io qa'd virlateust mol mal la lexess nasteon letix daliu dieniep.
同じ色である必要はなく、3個セットでも3個連番でもいい	 cene la lexess letix waxesen dejix mal es dqarmena o dqarleiju.
筆兵無傾	aptumirle warkar ad elmer
筆と兵のそれぞれの数の合計が等しい	aptumirle warkarssa'd terk ad elmersse'd terk es daliu.
（ワイルドは数として見ない）	(flonner es niv dieniep)
闇戦之集	kafi'a mol niv
手詰まり。	zuilesti elx cene niv es fhasfa.
仮に温故知新アクションを行っていたとしても、登用アクション時に捨てることができる駒がない場合。	co teles la faxamorlu felx cene amolerl elx mol niv. la lex io co'd surulumergal es "kafi'a mol niv".
闇戦之集は手駒にある組合せに関わらず、「ラウツァイト・セプ！」を宣言する特殊な場面です。	"kafi'a mol niv" es fhanka na melx mole larta lkurf "lauzait-cep" fal la lex.
「ラウツァイト・セプ！」が宣言された場合、得点を集計したのち、ラウンドが終了します。	larta lkurf "lauzait-cep" fie litarle yst edioll'i mal paltauil lusus. 
そのラウンドがゲームの最終ラウンドでない場合、「ラウンドの準備」に戻って新たにラウンドを始めます。	la lexe'd paltauil es niv lesbacka'd paltauil fie snusnij el "paltauil'i ternejafnavel" mal mak fas dytysn paltauil.
温故知新（最大1回、行わなくてもよい）	la faxamorlusti (cene co teles fal iu o panqa'd liestu)
まれに、過去に配属アクションを行いボーナス点を得たことを後悔することがあります。	co flivi'a es lypito'i fal icvergo vaxelferl'it fal nestil.
そういった場合には、温故知新アクションを行うことができます。	cene co teles la faxamorlu fal la lexol.
これを行う際、すでに公開した組合せ1つを非公開に戻し、公開時に得たボーナス点を返納することになります。	la lex'i telesil io larta derokesk panqa'd virlarteust'i zu xelvin kinunsares i mal ladirris vaxelferl.
返納は正しく行う必要があります。	vaxelferl elx deliu julesnon veles ladirriso.
例えば、[2][3][ワイルド]を公開して2点を得たのちに、[ワイルド][2][3]を1点の返納で温故知新してはいけません。	klirma io ny la lex es niv farmesen. e kinunsares [2] ad [3] ad [flonner] mal icve qa'd vaxelferl mal es la faxamorlusti fal [flonner] ad [2] ad [3] mal ladirris panqa'd vaxelferl.
不正受給は厳しく罰せられるべきなのです。	deliu miss cafi'anaschon jacamalain andi'an icvergo.
ゲームの終了	velfez'i lususilesti
プレイヤー数と同じだけラウンドを行うか、全員の気が済んだらゲームが終了します。		lartasnej'd paltauil's lusus fie velfez lusus. als larta veles torxlecirmo fie velfez lusus.
その時点で最も点数の高いプレイヤーの勝利です。	la lexe'd liestu io ils xerf yst edioll'i lex letix larta molkka.
複数いる場合、その全員が勝者になります。	loler rodesteler'st molil io la lexe'd als molkka.
追加ルール	stonexosti nuukirna'it
慣れてきたら以下のルールを追加してみましょう。	co vilarti lauzait-cepe’d niukirna'i felx cene co stonex ny la lexe'd niukirna.
準備後、残っている駒のうち1つを表に向けて、その駒を光駒とします。		fasta ternejafnavo,  co mak fantinupas anfiliumu'd laver’d panqa mal la lex is kafi'arlaver'c 
光駒が手駒にある状態で「ラウツァイト・セプ！」を宣言した場合、1枚につき1点を獲得します。	surulumergal io kafi'arlaver molil io co lkurf "lauzait-cep" fie icve panqa a panqa'd kafi'arlaver.
お寄せいただいた質問	miss l'icve nuniumusti
初版出版後にわが社に寄せられた質問について紹介します。	fqa io kverniacel nunium zu missen leryn icve fasta larchacfsil falvelta panqatej.
ご協力感謝します。	xace fua nuno
組合せ公開時とラウツァイト・セプ宣言時でワイルドを別の駒として扱ってよいか。	virlateust'it kinunsaresil ad "lauzait-cep"'it lkurfil iolx cene flonner is et laver?
― ペデ郡　アディン・ガトゥ・バニワイム 	liardial - ardin ghartu barniwaim
よい。	ers vynut.
水から水への移動時、投げ棒は必要か。	tanna ler tanna'l tydiestil iolx deliu ciurles n?
― クワケ郡　タム・アイクキー	skurlaval - tam.aikkir
標準セッカイクとは異なり、必要。	la lex waxes cerke'd celterno'c melx mole co ciurles.
ルールの簡易化を図った。	mi fyrfsykes niukirna'i.
ワイルドを用いて高く配属し、安く温故知新してよいか。	mi lius flonner'i mal icve xerf vaxelferl'i. cene mi teles la faxamorlu mal ladirris elx vers vaxelferl'i fal la lex?
― クティヤ郡　カジカ・レレダパ 	kutija - kasika.rieliedafa
ゲームが無茶苦茶になる。	velfez korlixtel lot is neferl.
本版では加筆した。	noen falvelta io miss stonex niukirna.
